são;QUANTIDADE
110001 Alta Floresta D'Oeste;36
110037 Alto Alegre dos Parecis;14
110040 Alto Paraíso;17
110034 Alvorada D'Oeste;21
110002 Ariquemes;133
110045 Buritis;32
110003 Cabixi;11
110060 Cacaulândia;7
110004 Cacoal;363
110070 Campo Novo de Rondônia;15
110080 Candeias do Jamari;12
110090 Castanheiras;6
110005 Cerejeiras;23
110092 Chupinguaia;20
110006 Colorado do Oeste;21
110007 Corumbiara;13
110008 Costa Marques;8
110094 Cujubim;12
110009 Espigão D'Oeste;46
110100 Governador Jorge Teixeira;12
110010 Guajará-Mirim;43
110110 Itapuã do Oeste;10
110011 Jaru;136
110012 Ji-Paraná;442
110013 Machadinho D'Oeste;30
110120 Ministro Andreazza;13
110130 Mirante da Serra;11
110140 Monte Negro;10
110014 Nova Brasilândia D'Oeste;22
110033 Nova Mamoré;16
110143 Nova União;6
110050 Novo Horizonte do Oeste;7
110015 Ouro Preto do Oeste;78
110145 Parecis;6
110018 Pimenta Bueno;125
110146 Pimenteiras do Oeste;6
110020 Porto Velho;808
110025 Presidente Médici;31
110147 Primavera de Rondônia;3
110026 Rio Crespo;5
110028 Rolim de Moura;124
110029 Santa Luzia D'Oeste;13
110148 São Felipe D'Oeste;7
110149 São Francisco do Guaporé;18
110032 São Miguel do Guaporé;32
110150 Seringueiras;11
110155 Teixeirópolis;6
110160 Theobroma;10
110170 Urupá;11
110175 Vale do Anari;11
110180 Vale do Paraíso;7
110030 Vilhena;313
120001 Acrelândia;12
120005 Assis Brasil;11
120010 Brasiléia;21
120013 Bujari;9
120017 Capixaba;10
120020 Cruzeiro do Sul;108
120025 Epitaciolândia;13
120030 Feijó;16
120032 Jordão;9
120033 Mâncio Lima;20
120034 Manoel Urbano;10
120035 Marechal Thaumaturgo;11
120038 Plácido de Castro;17
120080 Porto Acre;11
120039 Porto Walter;12
120040 Rio Branco;538
120042 Rodrigues Alves;15
120043 Santa Rosa do Purus;7
120050 Sena Madureira;36
120045 Senador Guiomard;19
120060 Tarauacá;24
120070 Xapuri;13
130002 Alvarães;14
130006 Amaturá;13
130008 Anamã;16
130010 Anori;7
130014 Apuí;13
130020 Atalaia do Norte;18
130030 Autazes;24
130040 Barcelos;26
130050 Barreirinha;21
130060 Benjamin Constant;24
130063 Beruri;7
130068 Boa Vista do Ramos;8
130070 Boca do Acre;15
130080 Borba;14
130083 Caapiranga;8
130090 Canutama;4
130100 Carauari;18
130110 Careiro;19
130115 Careiro da Várzea;19
130120 Coari;31
130130 Codajás;13
130140 Eirunepé;15
130150 Envira;7
130160 Fonte Boa;10
130165 Guajará;12
130170 Humaitá;42
130180 Ipixuna;11
130185 Iranduba;31
130190 Itacoatiara;40
130195 Itamarati;8
130200 Itapiranga;9
130210 Japurá;8
130220 Juruá;6
130230 Jutaí;12
130240 Lábrea;27
130250 Manacapuru;35
130255 Manaquiri;11
130260 Manaus;1351
130270 Manicoré;17
130280 Maraã;10
130290 Maués;31
130300 Nhamundá;16
130310 Nova Olinda do Norte;25
130320 Novo Airão;7
130330 Novo Aripuanã;11
130340 Parintins;54
130350 Pauini;10
130353 Presidente Figueiredo;39
130356 Rio Preto da Eva;27
130360 Santa Isabel do Rio Negro;28
130370 Santo Antônio do Içá;21
130380 São Gabriel da Cachoeira;46
130390 São Paulo de Olivença;20
130395 São Sebastião do Uatumã;8
130400 Silves;12
130406 Tabatinga;33
130410 Tapauá;17
130420 Tefé;43
130423 Tonantins;12
130426 Uarini;6
130430 Urucará;10
130440 Urucurituba;9
140005 Alto Alegre;47
140002 Amajari;40
140010 Boa Vista;398
140015 Bonfim;36
140017 Cantá;23
140020 Caracaraí;23
140023 Caroebe;10
140028 Iracema;11
140030 Mucajaí;24
140040 Normandia;18
140045 Pacaraima;15
140047 Rorainópolis;34
140050 São João da Baliza;12
140060 São Luiz;14
140070 Uiramutã;13
150010 Abaetetuba;112
150013 Abel Figueiredo;7
150020 Acará;28
150030 Afuá;17
150034 Água Azul do Norte;20
150040 Alenquer;20
150050 Almeirim;21
150060 Altamira;104
150070 Anajás;11
150080 Ananindeua;257
150085 Anapu;27
150090 Augusto Corrêa;36
150095 Aurora do Pará;19
150100 Aveiro;10
150110 Bagre;17
150120 Baião;25
150125 Bannach;14
150130 Barcarena;104
150140 Belém;1315
150145 Belterra;19
150150 Benevides;31
150157 Bom Jesus do Tocantins;13
150160 Bonito;17
150170 Bragança;83
150172 Brasil Novo;23
150175 Brejo Grande do Araguaia;15
150178 Breu Branco;37
150180 Breves;59
150190 Bujaru;21
150200 Cachoeira do Arari;17
150195 Cachoeira do Piriá;22
150210 Cametá;91
150215 Canaã dos Carajás;92
150220 Capanema;86
150230 Capitão Poço;41
150240 Castanhal;206
150250 Chaves;25
150260 Colares;13
150270 Conceição do Araguaia;59
150275 Concórdia do Pará;14
150276 Cumaru do Norte;21
150277 Curionópolis;15
150280 Curralinho;15
150285 Curuá;12
150290 Curuçá;30
150293 Dom Eliseu;41
150295 Eldorado do Carajás;20
150300 Faro;8
150304 Floresta do Araguaia;17
150307 Garrafão do Norte;20
150309 Goianésia do Pará;28
150310 Gurupá;26
150320 Igarapé-Açu;28
150330 Igarapé-Miri;27
150340 Inhangapi;14
150345 Ipixuna do Pará;31
150350 Irituia;19
150360 Itaituba;72
150370 Itupiranga;21
150375 Jacareacanga;31
150380 Jacundá;27
150390 Juruti;28
150400 Limoeiro do Ajuru;25
150405 Mãe do Rio;20
150410 Magalhães Barata;17
150420 Marabá;259
150430 Maracanã;25
150440 Marapanim;26
150442 Marituba;47
150445 Medicilândia;18
150450 Melgaço;16
150460 Mocajuba;17
150470 Moju;20
150475 Mojuí dos Campos;16
150480 Monte Alegre;41
150490 Muaná;15
150495 Nova Esperança do Piriá;17
150497 Nova Ipixuna;12
150500 Nova Timboteua;16
150503 Novo Progresso;34
150506 Novo Repartimento;45
150510 Óbidos;41
150520 Oeiras do Pará;18
150530 Oriximiná;47
150540 Ourém;21
150543 Ourilândia do Norte;50
150548 Pacajá;26
150549 Palestina do Pará;11
150550 Paragominas;97
150553 Parauapebas;295
150555 Pau D'Arco;17
150560 Peixe-Boi;8
150563 Piçarra;16
150565 Placas;10
150570 Ponta de Pedras;10
150580 Portel;27
150590 Porto de Moz;19
150600 Prainha;17
150610 Primavera;14
150611 Quatipuru;8
150613 Redenção;97
150616 Rio Maria;24
150618 Rondon do Pará;37
150619 Rurópolis;14
150620 Salinópolis;36
150630 Salvaterra;16
150635 Santa Bárbara do Pará;10
150640 Santa Cruz do Arari;9
150650 Santa Izabel do Pará;52
150655 Santa Luzia do Pará;21
150658 Santa Maria das Barreiras;17
150660 Santa Maria do Pará;18
150670 Santana do Araguaia;43
150680 Santarém;297
150690 Santarém Novo;12
150700 Santo Antônio do Tauá;22
150710 São Caetano de Odivelas;18
150715 São Domingos do Araguaia;18
150720 São Domingos do Capim;26
150730 São Félix do Xingu;61
150740 São Francisco do Pará;14
150745 São Geraldo do Araguaia;24
150746 São João da Ponta;11
150747 São João de Pirabas;18
150750 São João do Araguaia;17
150760 São Miguel do Guamá;39
150770 São Sebastião da Boa Vista;20
150775 Sapucaia;8
