MUNICIPIO;QUANTIDADE
110001 Alta Floresta D'Oeste;330
110037 Alto Alegre dos Parecis;103
110040 Alto Paraíso;168
110034 Alvorada D'Oeste;136
110002 Ariquemes;1352
110045 Buritis;383
110003 Cabixi;104
110060 Cacaulândia;55
110004 Cacoal;2423
110070 Campo Novo de Rondônia;158
110080 Candeias do Jamari;222
110090 Castanheiras;90
110005 Cerejeiras;249
110092 Chupinguaia;153
110006 Colorado do Oeste;211
110007 Corumbiara;113
110008 Costa Marques;122
110094 Cujubim;113
110009 Espigão D'Oeste;296
110100 Governador Jorge Teixeira;111
110010 Guajará-Mirim;694
110110 Itapuã do Oeste;128
110011 Jaru;777
110012 Ji-Paraná;1768
110013 Machadinho D'Oeste;343
110120 Ministro Andreazza;88
110130 Mirante da Serra;91
110140 Monte Negro;170
110014 Nova Brasilândia D'Oeste;150
110033 Nova Mamoré;261
110143 Nova União;71
110050 Novo Horizonte do Oeste;93
110015 Ouro Preto do Oeste;375
110145 Parecis;71
110018 Pimenta Bueno;601
110146 Pimenteiras do Oeste;52
110020 Porto Velho;11373
110025 Presidente Médici;225
110147 Primavera de Rondônia;77
110026 Rio Crespo;57
110028 Rolim de Moura;616
110029 Santa Luzia D'Oeste;92
110148 São Felipe D'Oeste;85
110149 São Francisco do Guaporé;278
110032 São Miguel do Guaporé;182
110150 Seringueiras;100
110155 Teixeirópolis;52
110160 Theobroma;183
110170 Urupá;107
110175 Vale do Anari;96
110180 Vale do Paraíso;82
110030 Vilhena;1634
120001 Acrelândia;169
120005 Assis Brasil;141
120010 Brasiléia;469
120013 Bujari;91
120017 Capixaba;96
120020 Cruzeiro do Sul;1625
120025 Epitaciolândia;139
120030 Feijó;225
120032 Jordão;110
120033 Mâncio Lima;223
120034 Manoel Urbano;134
120035 Marechal Thaumaturgo;220
120038 Plácido de Castro;345
120080 Porto Acre;105
120039 Porto Walter;145
120040 Rio Branco;7066
120042 Rodrigues Alves;177
120043 Santa Rosa do Purus;99
120050 Sena Madureira;539
120045 Senador Guiomard;259
120060 Tarauacá;311
120070 Xapuri;197
130002 Alvarães;268
130006 Amaturá;228
130008 Anamã;230
130010 Anori;159
130014 Apuí;275
130020 Atalaia do Norte;365
130030 Autazes;488
130040 Barcelos;477
130050 Barreirinha;437
130060 Benjamin Constant;544
130063 Beruri;178
130068 Boa Vista do Ramos;255
130070 Boca do Acre;490
130080 Borba;512
130083 Caapiranga;229
130090 Canutama;178
130100 Carauari;271
130110 Careiro;428
130115 Careiro da Várzea;321
130120 Coari;887
130130 Codajás;271
130140 Eirunepé;514
130150 Envira;262
130160 Fonte Boa;361
130165 Guajará;274
130170 Humaitá;828
130180 Ipixuna;291
130185 Iranduba;771
130190 Itacoatiara;1615
130195 Itamarati;146
130200 Itapiranga;111
130210 Japurá;181
130220 Juruá;165
130230 Jutaí;393
130240 Lábrea;670
130250 Manacapuru;1168
130255 Manaquiri;222
130260 Manaus;34099
130270 Manicoré;474
130280 Maraã;201
130290 Maués;630
130300 Nhamundá;361
130310 Nova Olinda do Norte;350
130320 Novo Airão;355
130330 Novo Aripuanã;254
130340 Parintins;1502
130350 Pauini;263
130353 Presidente Figueiredo;463
130356 Rio Preto da Eva;561
130360 Santa Isabel do Rio Negro;304
130370 Santo Antônio do Içá;391
130380 São Gabriel da Cachoeira;847
130390 São Paulo de Olivença;644
130395 São Sebastião do Uatumã;172
130400 Silves;201
130406 Tabatinga;1296
