MUNICIPIO;QUANTIDADE
110001 Alta Floresta D'Oeste;333
110037 Alto Alegre dos Parecis;106
110040 Alto Paraíso;178
110034 Alvorada D'Oeste;128
110002 Ariquemes;1316
110045 Buritis;363
110003 Cabixi;96
110060 Cacaulândia;54
110004 Cacoal;2327
110070 Campo Novo de Rondônia;159
110080 Candeias do Jamari;212
110090 Castanheiras;85
110005 Cerejeiras;243
110092 Chupinguaia;153
110006 Colorado do Oeste;217
110007 Corumbiara;114
110008 Costa Marques;113
110094 Cujubim;110
110009 Espigão D'Oeste;282
110100 Governador Jorge Teixeira;111
110010 Guajará-Mirim;672
110110 Itapuã do Oeste;122
110011 Jaru;699
110012 Ji-Paraná;1776
110013 Machadinho D'Oeste;337
110120 Ministro Andreazza;91
110130 Mirante da Serra;87
110140 Monte Negro;138
110014 Nova Brasilândia D'Oeste;151
110033 Nova Mamoré;256
110143 Nova União;70
110050 Novo Horizonte do Oeste;90
110015 Ouro Preto do Oeste;319
110145 Parecis;67
110018 Pimenta Bueno;572
110146 Pimenteiras do Oeste;49
110020 Porto Velho;10478
110025 Presidente Médici;234
110147 Primavera de Rondônia;76
110026 Rio Crespo;56
110028 Rolim de Moura;592
110029 Santa Luzia D'Oeste;94
110148 São Felipe D'Oeste;86
110149 São Francisco do Guaporé;257
110032 São Miguel do Guaporé;153
110150 Seringueiras;100
110155 Teixeirópolis;52
110160 Theobroma;168
110170 Urupá;106
110175 Vale do Anari;97
110180 Vale do Paraíso;81
110030 Vilhena;1579
120001 Acrelândia;161
120005 Assis Brasil;128
120010 Brasiléia;458
120013 Bujari;91
120017 Capixaba;83
120020 Cruzeiro do Sul;1645
120025 Epitaciolândia;138
120030 Feijó;228
120032 Jordão;90
120033 Mâncio Lima;220
120034 Manoel Urbano;132
120035 Marechal Thaumaturgo;217
120038 Plácido de Castro;352
120080 Porto Acre;106
120039 Porto Walter;140
120040 Rio Branco;6957
120042 Rodrigues Alves;175
120043 Santa Rosa do Purus;97
120050 Sena Madureira;538
120045 Senador Guiomard;245
120060 Tarauacá;306
120070 Xapuri;194
130002 Alvarães;268
130006 Amaturá;226
130008 Anamã;229
130010 Anori;158
130014 Apuí;260
130020 Atalaia do Norte;353
130030 Autazes;486
130040 Barcelos;459
130050 Barreirinha;427
130060 Benjamin Constant;524
130063 Beruri;186
130068 Boa Vista do Ramos;254
130070 Boca do Acre;483
130080 Borba;493
130083 Caapiranga;214
130090 Canutama;178
130100 Carauari;268
130110 Careiro;453
130115 Careiro da Várzea;313
130120 Coari;888
130130 Codajás;261
130140 Eirunepé;512
130150 Envira;262
130160 Fonte Boa;361
130165 Guajará;258
130170 Humaitá;785
130180 Ipixuna;259
130185 Iranduba;739
130190 Itacoatiara;1553
130195 Itamarati;146
130200 Itapiranga;106
130210 Japurá;183
130220 Juruá;157
130230 Jutaí;388
130240 Lábrea;659
130250 Manacapuru;1156
130255 Manaquiri;218
130260 Manaus;32656
130270 Manicoré;470
130280 Maraã;211
130290 Maués;609
130300 Nhamundá;317
130310 Nova Olinda do Norte;331
130320 Novo Airão;356
130330 Novo Aripuanã;248
130340 Parintins;1347
130350 Pauini;263
130353 Presidente Figueiredo;458
130356 Rio Preto da Eva;516
130360 Santa Isabel do Rio Negro;306
130370 Santo Antônio do Içá;392
130380 São Gabriel da Cachoeira;817
130390 São Paulo de Olivença;629
130395 São Sebastião do Uatumã;167
130400 Silves;194
130406 Tabatinga;1241
130410 Tapauá;320
130420 Tefé;1001
130423 Tonantins;299
130426 Uarini;223
130430 Urucará;249
130440 Urucurituba;344
140005 Alto Alegre;517
140002 Amajari;266
140010 Boa Vista;6532
140015 Bonfim;238
140017 Cantá;205
140020 Caracaraí;299
140023 Caroebe;142
140028 Iracema;168
140030 Mucajaí;256
140040 Normandia;157
140045 Pacaraima;195
140047 Rorainópolis;413
140050 São João da Baliza;119
140060 São Luiz;142
140070 Uiramutã;101
150010 Abaetetuba;1192
150013 Abel Figueiredo;113
150020 Acará;359
150030 Afuá;220
150034 Água Azul do Norte;274
150040 Alenquer;337
150050 Almeirim;330
150060 Altamira;2038
150070 Anajás;330
150080 Ananindeua;5151
150085 Anapu;218
150090 Augusto Corrêa;340
150095 Aurora do Pará;240
150100 Aveiro;126
150110 Bagre;210
150120 Baião;292
150125 Bannach;80
150130 Barcarena;1360
150140 Belém;19247
150145 Belterra;153
150150 Benevides;498
150157 Bom Jesus do Tocantins;153
150160 Bonito;150
150170 Bragança;1128
150172 Brasil Novo;234
150175 Brejo Grande do Araguaia;89
150178 Breu Branco;386
150180 Breves;1007
150190 Bujaru;229
150200 Cachoeira do Arari;135
150195 Cachoeira do Piriá;207
150210 Cametá;1140
150215 Canaã dos Carajás;921
150220 Capanema;968
150230 Capitão Poço;442
150240 Castanhal;1917
150250 Chaves;132
150260 Colares;107
150270 Conceição do Araguaia;593
150275 Concórdia do Pará;210
150276 Cumaru do Norte;126
150277 Curionópolis;177
150280 Curralinho;205
150285 Curuá;107
150290 Curuçá;262
150293 Dom Eliseu;481
150295 Eldorado do Carajás;277
150300 Faro;139
150304 Floresta do Araguaia;202
150307 Garrafão do Norte;358
150309 Goianésia do Pará;286
150310 Gurupá;276
150320 Igarapé-Açu;404
150330 Igarapé-Miri;414
150340 Inhangapi;117
150345 Ipixuna do Pará;560
150350 Irituia;261
150360 Itaituba;1015
150370 Itupiranga;330
150375 Jacareacanga;346
150380 Jacundá;426
150390 Juruti;537
150400 Limoeiro do Ajuru;252
150405 Mãe do Rio;254
150410 Magalhães Barata;103
150420 Marabá;3348
150430 Maracanã;276
150440 Marapanim;203
150442 Marituba;1073
150445 Medicilândia;190
150450 Melgaço;173
150460 Mocajuba;181
150470 Moju;301
150475 Mojuí dos Campos;168
150480 Monte Alegre;475
150490 Muaná;292
150495 Nova Esperança do Piriá;222
150497 Nova Ipixuna;170
150500 Nova Timboteua;133
150503 Novo Progresso;467
150506 Novo Repartimento;547
150510 Óbidos;341
150520 Oeiras do Pará;225
150530 Oriximiná;797
150540 Ourém;232
150543 Ourilândia do Norte;398
150548 Pacajá;375
150549 Palestina do Pará;62
150550 Paragominas;1216
150553 Parauapebas;3064
150555 Pau D'Arco;129
150560 Peixe-Boi;77
150563 Piçarra;128
150565 Placas;192
150570 Ponta de Pedras;180
150580 Portel;360
150590 Porto de Moz;259
150600 Prainha;219
150610 Primavera;96
150611 Quatipuru;89
150613 Redenção;1103
150616 Rio Maria;178
150618 Rondon do Pará;320
150619 Rurópolis;302
150620 Salinópolis;394
150630 Salvaterra;130
150635 Santa Bárbara do Pará;161
150640 Santa Cruz do Arari;88
150650 Santa Izabel do Pará;480
150655 Santa Luzia do Pará;153
150658 Santa Maria das Barreiras;179
150660 Santa Maria do Pará;228
150670 Santana do Araguaia;372
150680 Santarém;3624
150690 Santarém Novo;108
150700 Santo Antônio do Tauá;211
150710 São Caetano de Odivelas;147
150715 São Domingos do Araguaia;173
150720 São Domingos do Capim;346
150730 São Félix do Xingu;858
150740 São Francisco do Pará;171
150745 São Geraldo do Araguaia;222
150746 São João da Ponta;61
150747 São João de Pirabas;163
150750 São João do Araguaia;116
150760 São Miguel do Guamá;457
150770 São Sebastião da Boa Vista;178
150775 Sapucaia;82
150780 Senador José Porfírio;122
150790 Soure;189
150795 Tailândia;710
150796 Terra Alta;104
150797 Terra Santa;178
150800 Tomé-Açu;421
150803 Tracuateua;197
150805 Trairão;131
150808 Tucumã;399
150810 Tucuruí;1501
150812 Ulianópolis;443
150815 Uruará;287
150820 Vigia;295
150830 Viseu;364
150835 Vitória do Xingu;219
150840 Xinguara;536
160010 Amapá;143
160020 Calçoene;161
160021 Cutias;109
160023 Ferreira Gomes;215
160025 Itaubal;73
160027 Laranjal do Jari;541
160030 Macapá;7934
160040 Mazagão;242
160050 Oiapoque;296
160015 Pedra Branca do Amapari;207
160053 Porto Grande;324
160055 Pracuúba;61
160060 Santana;1209
160005 Serra do Navio;99
160070 Tartarugalzinho;233
160080 Vitória do Jari;160
170025 Abreulândia;49
170030 Aguiarnópolis;63
170035 Aliança do Tocantins;61
170040 Almas;103
170070 Alvorada;167
170100 Ananás;131
170105 Angico;57
170110 Aparecida do Rio Negro;48
170130 Aragominas;88
170190 Araguacema;63
170200 Araguaçu;138
170210 Araguaína;4347
170215 Araguanã;98
170220 Araguatins;343
170230 Arapoema;165
170240 Arraias;249
170255 Augustinópolis;378
170270 Aurora do Tocantins;44
170290 Axixá do Tocantins;92
170300 Babaçulândia;94
170305 Bandeirantes do Tocantins;60
170307 Barra do Ouro;43
170310 Barrolândia;71
170320 Bernardo Sayão;44
170330 Bom Jesus do Tocantins;37
170360 Brasilândia do Tocantins;29
170370 Brejinho de Nazaré;83
170380 Buriti do Tocantins;115
170382 Cachoeirinha;33
170384 Campos Lindos;100
170386 Cariri do Tocantins;63
170388 Carmolândia;35
170389 Carrasco Bonito;86
170390 Caseara;47
170410 Centenário;41
170510 Chapada da Natividade;58
170460 Chapada de Areia;29
170550 Colinas do Tocantins;389
171670 Colméia;92
170555 Combinado;63
170560 Conceição do Tocantins;59
170600 Couto Magalhães;57
170610 Cristalândia;81
170625 Crixás do Tocantins;24
170650 Darcinópolis;52
170700 Dianópolis;169
170710 Divinópolis do Tocantins;99
170720 Dois Irmãos do Tocantins;92
170730 Dueré;99
170740 Esperantina;84
170755 Fátima;63
170765 Figueirópolis;60
170770 Filadélfia;94
170820 Formoso do Araguaia;208
170825 Fortaleza do Tabocão;63
170830 Goianorte;65
170900 Goiatins;123
170930 Guaraí;503
170950 Gurupi;1414
170980 Ipueiras;32
171050 Itacajá;138
171070 Itaguatins;70
171090 Itapiratins;52
171110 Itaporã do Tocantins;43
171150 Jaú do Tocantins;44
171180 Juarina;33
171190 Lagoa da Confusão;90
171195 Lagoa do Tocantins;57
171200 Lajeado;87
171215 Lavandeira;37
171240 Lizarda;39
171245 Luzinópolis;52
171250 Marianópolis do Tocantins;78
171270 Mateiros;30
171280 Maurilândia do Tocantins;47
171320 Miracema do Tocantins;571
171330 Miranorte;147
171360 Monte do Carmo;99
171370 Monte Santo do Tocantins;30
171395 Muricilândia;56
171420 Natividade;105
171430 Nazaré;60
171488 Nova Olinda;112
171500 Nova Rosalândia;78
171510 Novo Acordo;54
171515 Novo Alegre;59
171525 Novo Jardim;46
171550 Oliveira de Fátima;30
172100 Palmas;7558
171570 Palmeirante;76
171380 Palmeiras do Tocantins;63
171575 Palmeirópolis;118
171610 Paraíso do Tocantins;940
171620 Paranã;139
