MUNICIPIO;QUANTIDADE
110001 Alta Floresta D'Oeste;35
110037 Alto Alegre dos Parecis;14
110040 Alto Paraíso;18
110034 Alvorada D'Oeste;21
110002 Ariquemes;119
110045 Buritis;33
110003 Cabixi;10
110060 Cacaulândia;7
110004 Cacoal;337
110070 Campo Novo de Rondônia;14
110080 Candeias do Jamari;15
110090 Castanheiras;6
110005 Cerejeiras;24
110092 Chupinguaia;20
110006 Colorado do Oeste;20
110007 Corumbiara;13
110008 Costa Marques;9
110094 Cujubim;12
110009 Espigão D'Oeste;44
110100 Governador Jorge Teixeira;12
110010 Guajará-Mirim;44
110110 Itapuã do Oeste;8
110011 Jaru;129
110012 Ji-Paraná;405
110013 Machadinho D'Oeste;28
110120 Ministro Andreazza;10
110130 Mirante da Serra;10
110140 Monte Negro;11
110014 Nova Brasilândia D'Oeste;22
110033 Nova Mamoré;16
110143 Nova União;6
110050 Novo Horizonte do Oeste;7
110015 Ouro Preto do Oeste;64
110145 Parecis;5
110018 Pimenta Bueno;122
110146 Pimenteiras do Oeste;5
110020 Porto Velho;896
110025 Presidente Médici;28
110147 Primavera de Rondônia;3
110026 Rio Crespo;5
110028 Rolim de Moura;120
110029 Santa Luzia D'Oeste;11
110148 São Felipe D'Oeste;8
110149 São Francisco do Guaporé;19
110032 São Miguel do Guaporé;23
110150 Seringueiras;11
110155 Teixeirópolis;7
110160 Theobroma;10
110170 Urupá;11
110175 Vale do Anari;12
110180 Vale do Paraíso;7
110030 Vilhena;289
120001 Acrelândia;13
120005 Assis Brasil;11
120010 Brasiléia;19
120013 Bujari;9
120017 Capixaba;9
120020 Cruzeiro do Sul;98
120025 Epitaciolândia;12
120030 Feijó;16
120032 Jordão;8
120033 Mâncio Lima;20
120034 Manoel Urbano;7
120035 Marechal Thaumaturgo;11
120038 Plácido de Castro;17
120080 Porto Acre;11
120039 Porto Walter;9
120040 Rio Branco;503
120042 Rodrigues Alves;13
120043 Santa Rosa do Purus;7
120050 Sena Madureira;35
120045 Senador Guiomard;19
120060 Tarauacá;20
120070 Xapuri;13
130002 Alvarães;14
130006 Amaturá;12
130008 Anamã;15
130010 Anori;7
130014 Apuí;11
130020 Atalaia do Norte;18
130030 Autazes;23
130040 Barcelos;25
130050 Barreirinha;20
130060 Benjamin Constant;19
130063 Beruri;7
130068 Boa Vista do Ramos;6
130070 Boca do Acre;14
130080 Borba;17
130083 Caapiranga;8
130090 Canutama;4
130100 Carauari;17
130110 Careiro;15
130115 Careiro da Várzea;19
130120 Coari;30
130130 Codajás;13
130140 Eirunepé;13
130150 Envira;7
130160 Fonte Boa;10
130165 Guajará;11
130170 Humaitá;55
130180 Ipixuna;11
130185 Iranduba;28
130190 Itacoatiara;46
130195 Itamarati;8
130200 Itapiranga;8
130210 Japurá;9
130220 Juruá;5
130230 Jutaí;11
130240 Lábrea;27
130250 Manacapuru;34
130255 Manaquiri;9
130260 Manaus;1431
130270 Manicoré;17
130280 Maraã;13
130290 Maués;23
130300 Nhamundá;16
130310 Nova Olinda do Norte;22
130320 Novo Airão;7
130330 Novo Aripuanã;11
130340 Parintins;50
130350 Pauini;10
130353 Presidente Figueiredo;38
130356 Rio Preto da Eva;23
130360 Santa Isabel do Rio Negro;26
130370 Santo Antônio do Içá;20
130380 São Gabriel da Cachoeira;46
130390 São Paulo de Olivença;20
130395 São Sebastião do Uatumã;7
130400 Silves;12
130406 Tabatinga;28
130410 Tapauá;17
130420 Tefé;45
130423 Tonantins;12
130426 Uarini;5
130430 Urucará;9
130440 Urucurituba;10
140005 Alto Alegre;47
140002 Amajari;27
140010 Boa Vista;383
140015 Bonfim;30
140017 Cantá;25
140020 Caracaraí;22
140023 Caroebe;9
140028 Iracema;12
140030 Mucajaí;22
140040 Normandia;19
140045 Pacaraima;17
140047 Rorainópolis;33
140050 São João da Baliza;11
140060 São Luiz;13
140070 Uiramutã;20
150010 Abaetetuba;113
150013 Abel Figueiredo;7
150020 Acará;27
150030 Afuá;18
150034 Água Azul do Norte;19
150040 Alenquer;18
150050 Almeirim;21
150060 Altamira;89
150070 Anajás;11
150080 Ananindeua;238
150085 Anapu;30
150090 Augusto Corrêa;35
150095 Aurora do Pará;18
150100 Aveiro;10
150110 Bagre;10
150120 Baião;26
150125 Bannach;14
150130 Barcarena;102
150140 Belém;2188
150145 Belterra;17
150150 Benevides;30
150157 Bom Jesus do Tocantins;13
150160 Bonito;15
150170 Bragança;78
150172 Brasil Novo;23
150175 Brejo Grande do Araguaia;13
150178 Breu Branco;35
150180 Breves;56
150190 Bujaru;20
150200 Cachoeira do Arari;17
150195 Cachoeira do Piriá;21
150210 Cametá;78
150215 Canaã dos Carajás;87
150220 Capanema;83
150230 Capitão Poço;42
150240 Castanhal;196
150250 Chaves;25
150260 Colares;13
150270 Conceição do Araguaia;59
150275 Concórdia do Pará;14
150276 Cumaru do Norte;20
150277 Curionópolis;14
150280 Curralinho;15
150285 Curuá;11
150290 Curuçá;27
150293 Dom Eliseu;40
150295 Eldorado do Carajás;19
150300 Faro;8
150304 Floresta do Araguaia;17
150307 Garrafão do Norte;20
150309 Goianésia do Pará;29
150310 Gurupá;26
150320 Igarapé-Açu;26
150330 Igarapé-Miri;27
150340 Inhangapi;14
150345 Ipixuna do Pará;29
150350 Irituia;19
150360 Itaituba;69
150370 Itupiranga;21
150375 Jacareacanga;31
150380 Jacundá;26
150390 Juruti;29
150400 Limoeiro do Ajuru;24
150405 Mãe do Rio;21
150410 Magalhães Barata;18
150420 Marabá;260
150430 Maracanã;25
150440 Marapanim;26
150442 Marituba;45
150445 Medicilândia;18
150450 Melgaço;16
150460 Mocajuba;18
150470 Moju;20
150475 Mojuí dos Campos;15
150480 Monte Alegre;41
150490 Muaná;14
150495 Nova Esperança do Piriá;17
150497 Nova Ipixuna;10
150500 Nova Timboteua;15
150503 Novo Progresso;33
150506 Novo Repartimento;43
150510 Óbidos;40
150520 Oeiras do Pará;16
150530 Oriximiná;44
150540 Ourém;19
150543 Ourilândia do Norte;46
150548 Pacajá;25
150549 Palestina do Pará;9
150550 Paragominas;106
150553 Parauapebas;265
150555 Pau D'Arco;16
150560 Peixe-Boi;8
150563 Piçarra;16
150565 Placas;10
150570 Ponta de Pedras;10
150580 Portel;24
150590 Porto de Moz;16
150600 Prainha;17
150610 Primavera;13
150611 Quatipuru;8
150613 Redenção;93
150616 Rio Maria;22
150618 Rondon do Pará;36
150619 Rurópolis;14
150620 Salinópolis;32
150630 Salvaterra;16
150635 Santa Bárbara do Pará;10
150640 Santa Cruz do Arari;9
150650 Santa Izabel do Pará;57
150655 Santa Luzia do Pará;20
150658 Santa Maria das Barreiras;16
150660 Santa Maria do Pará;18
150670 Santana do Araguaia;39
150680 Santarém;284
150690 Santarém Novo;12
150700 Santo Antônio do Tauá;22
150710 São Caetano de Odivelas;18
150715 São Domingos do Araguaia;18
150720 São Domingos do Capim;24
150730 São Félix do Xingu;56
150740 São Francisco do Pará;13
150745 São Geraldo do Araguaia;23
150746 São João da Ponta;11
150747 São João de Pirabas;18
150750 São João do Araguaia;16
150760 São Miguel do Guamá;38
150770 São Sebastião da Boa Vista;21
150775 Sapucaia;8
150780 Senador José Porfírio;16
150790 Soure;12
150795 Tailândia;30
150796 Terra Alta;8
150797 Terra Santa;13
150800 Tomé-Açu;28
150803 Tracuateua;30
150805 Trairão;16
150808 Tucumã;50
150810 Tucuruí;95
150812 Ulianópolis;33
150815 Uruará;24
150820 Vigia;25
150830 Viseu;30
150835 Vitória do Xingu;24
150840 Xinguara;47
160010 Amapá;13
160020 Calçoene;9
160021 Cutias;7
160023 Ferreira Gomes;12
160025 Itaubal;13
160027 Laranjal do Jari;24
160030 Macapá;377
160040 Mazagão;26
160050 Oiapoque;30
160015 Pedra Branca do Amapari;13
160053 Porto Grande;18
160055 Pracuúba;8
160060 Santana;54
160005 Serra do Navio;9
160070 Tartarugalzinho;24
160080 Vitória do Jari;10
170025 Abreulândia;3
170030 Aguiarnópolis;7
170035 Aliança do Tocantins;7
170040 Almas;5
170070 Alvorada;14
170100 Ananás;7
170105 Angico;4
170110 Aparecida do Rio Negro;5
170130 Aragominas;5
170190 Araguacema;6
170200 Araguaçu;12
170210 Araguaína;248
170215 Araguanã;8
170220 Araguatins;24
170230 Arapoema;5
170240 Arraias;10
170255 Augustinópolis;19
170270 Aurora do Tocantins;3
170290 Axixá do Tocantins;8
170300 Babaçulândia;9
170305 Bandeirantes do Tocantins;3
170307 Barra do Ouro;4
170310 Barrolândia;6
170320 Bernardo Sayão;2
170330 Bom Jesus do Tocantins;4
170360 Brasilândia do Tocantins;4
170370 Brejinho de Nazaré;5
170380 Buriti do Tocantins;9
170382 Cachoeirinha;3
170384 Campos Lindos;2
170386 Cariri do Tocantins;6
170388 Carmolândia;3
170389 Carrasco Bonito;7
170390 Caseara;4
170410 Centenário;2
170510 Chapada da Natividade;4
170460 Chapada de Areia;4
170550 Colinas do Tocantins;45
171670 Colméia;11
170555 Combinado;4
170560 Conceição do Tocantins;6
170600 Couto Magalhães;6
170610 Cristalândia;6
170625 Crixás do Tocantins;2
170650 Darcinópolis;5
170700 Dianópolis;21
170710 Divinópolis do Tocantins;8
170720 Dois Irmãos do Tocantins;7
170730 Dueré;7
170740 Esperantina;6
170755 Fátima;6
170765 Figueirópolis;4
170770 Filadélfia;6
170820 Formoso do Araguaia;15
170825 Fortaleza do Tabocão;3
170830 Goianorte;6
170900 Goiatins;10
170930 Guaraí;30
170950 Gurupi;173
170980 Ipueiras;4
171050 Itacajá;13
171070 Itaguatins;6
171090 Itapiratins;5
171110 Itaporã do Tocantins;5
171150 Jaú do Tocantins;7
171180 Juarina;3
171190 Lagoa da Confusão;11
171195 Lagoa do Tocantins;5
171200 Lajeado;6
171215 Lavandeira;3
171240 Lizarda;4
171245 Luzinópolis;4
171250 Marianópolis do Tocantins;5
171270 Mateiros;3
171280 Maurilândia do Tocantins;6
171320 Miracema do Tocantins;25
171330 Miranorte;16
171360 Monte do Carmo;7
171370 Monte Santo do Tocantins;4
171395 Muricilândia;3
171420 Natividade;11
171430 Nazaré;9
171488 Nova Olinda;10
171500 Nova Rosalândia;4
171510 Novo Acordo;5
171515 Novo Alegre;6
171525 Novo Jardim;2
171550 Oliveira de Fátima;3
172100 Palmas;573
171570 Palmeirante;3
171380 Palmeiras do Tocantins;3
171575 Palmeirópolis;12
171610 Paraíso do Tocantins;65
171620 Paranã;9
171630 Pau D'Arco;3
171650 Pedro Afonso;12
171660 Peixe;10
171665 Pequizeiro;6
171700 Pindorama do Tocantins;6
171720 Piraquê;5
171750 Pium;10
171780 Ponte Alta do Bom Jesus;5
171790 Ponte Alta do Tocantins;3
171800 Porto Alegre do Tocantins;5
171820 Porto Nacional;86
171830 Praia Norte;9
171840 Presidente Kennedy;4
171845 Pugmil;4
171850 Recursolândia;3
171855 Riachinho;4
171865 Rio da Conceição;4
171870 Rio dos Bois;2
171875 Rio Sono;6
171880 Sampaio;4
171884 Sandolândia;3
171886 Santa Fé do Araguaia;7
171888 Santa Maria do Tocantins;3
171889 Santa Rita do Tocantins;4
171890 Santa Rosa do Tocantins;6
171900 Santa Tereza do Tocantins;3
172000 Santa Terezinha do Tocantins;5
172010 São Bento do Tocantins;6
172015 São Félix do Tocantins;4
172020 São Miguel do Tocantins;4
172025 São Salvador do Tocantins;5
172030 São Sebastião do Tocantins;4
172049 São Valério;5
172065 Silvanópolis;8
172080 Sítio Novo do Tocantins;11
172085 Sucupira;3
172090 Taguatinga;8
172093 Taipas do Tocantins;1
172097 Talismã;4
172110 Tocantínia;12
172120 Tocantinópolis;29
172125 Tupirama;3
172130 Tupiratins;4
172208 Wanderlândia;7
172210 Xambioá;13
210005 Açailândia;99
210010 Afonso Cunha;10
210015 Água Doce do Maranhão;8
210020 Alcântara;18
210030 Aldeias Altas;16
210040 Altamira do Maranhão;11
210043 Alto Alegre do Maranhão;14
210047 Alto Alegre do Pindaré;24
210050 Alto Parnaíba;12
210055 Amapá do Maranhão;4
210060 Amarante do Maranhão;45
210070 Anajatuba;24
210080 Anapurus;11
210083 Apicum-Açu;9
210087 Araguanã;10
210090 Araioses;23
210095 Arame;18
210100 Arari;18
210110 Axixá;16
210120 Bacabal;74
210125 Bacabeira;16
210130 Bacuri;12
210135 Bacurituba;8
210140 Balsas;125
210150 Barão de Grajaú;20
210160 Barra do Corda;73
210170 Barreirinhas;28
210177 Bela Vista do Maranhão;12
210173 Belágua;7
210180 Benedito Leite;5
210190 Bequimão;15
210193 Bernardo do Mearim;11
210197 Boa Vista do Gurupi;5
210200 Bom Jardim;27
